,x
271,dBFA2_WGS_4C_1_C7_S41
272,dBFA2_WGS_4C_1_D10_S68
273,dBFA2_WGS_4C_1_D9_S59
274,dBFA2_WGS_4C_1_E10_S12
275,dBFA2_WGS_4C_1_E3_S2
276,dBFA2_WGS_4C_1_F10_S22
277,dBFA2_WGS_4C_1_G7_S32
278,dBFA2_WGS_4C_1_H7_S42
279,dBFA2_WGS_4D_1_A2_S51
280,dBFA2_WGS_4D_1_B10_S60
281,dBFA2_WGS_4D_1_C9_S69
282,dBFA2_WGS_4D_1_H9_S3
283,dBFA2_WGS_6C_1_A3_S13
284,dBFA2_WGS_6C_1_A4_S23
285,dBFA2_WGS_6C_1_B2_S33
286,dBFA2_WGS_6C_1_C6_S43
287,dBFA2_WGS_6C_1_D4_S52
288,dBFA2_WGS_6C_1_H6_S70
289,dBFA2_WGS_6D_1_A3_S4
290,dBFA2_WGS_6D_1_A4_S14
291,dBFA2_WGS_6D_1_A9_S24
292,dBFA2_WGS_6D_1_B11_S34
293,dBFA2_WGS_6D_1_C11_S44
294,dBFA2_WGS_6D_1_F2_S53
295,dBFA2_WGS_6D_1_G10_S71
296,dBFA2_WGS_6D_1_G3_S62
297,Gly_2N_A1
298,Gly_2N_A11
299,Gly_2N_A12
300,Gly_2N_A2
301,Gly_2N_A3
302,Gly_2N_A5
303,Gly_2N_A6
304,Gly_2N_A7
305,Gly_2N_A9
306,Gly_2N_B1
307,Gly_2N_B10
308,Gly_2N_B11
309,Gly_2N_B12
310,Gly_2N_B2
311,Gly_2N_B3
312,Gly_2N_B4
313,Gly_2N_B5
314,Gly_2N_B6
315,Gly_2N_B7
316,Gly_2N_B9
317,Gly_2N_C1
318,Gly_2N_C10
319,Gly_2N_C11
320,Gly_2N_C2
321,Gly_2N_C3
322,Gly_2N_C4
323,Gly_2N_C5
324,Gly_2N_C6
325,Gly_2N_C7
326,Gly_2N_C8
327,Gly_2N_C9
328,Gly_2N_D1
329,Gly_2N_D10
330,Gly_2N_D11
331,Gly_2N_D2
332,Gly_2N_D3
333,Gly_2N_D4
334,Gly_2N_D5
335,Gly_2N_D6
336,Gly_2N_D7
337,Gly_2N_D8
338,Gly_2N_D9
339,Gly_2N_E1
340,Gly_2N_E1
341,Gly_2N_E11
342,Gly_2N_E12
343,Gly_2N_E2
344,Gly_2N_E3
345,Gly_2N_E4
346,Gly_2N_E6
347,Gly_2N_E7
348,Gly_2N_E8
349,Gly_2N_E9
350,Gly_2N_F1
351,Gly_2N_F10
352,Gly_2N_F11
353,Gly_2N_F2
354,Gly_2N_F4
355,Gly_2N_F5
356,Gly_2N_F6
357,Gly_2N_F7
358,Gly_2N_F8
359,Gly_2N_G1
360,Gly_2N_G12
361,Gly_2N_G3
362,Gly_2N_G4
363,Gly_2N_G5
364,Gly_2N_G6
365,Gly_2N_G7
366,Gly_2N_G8
367,Gly_2N_G9
368,Gly_2N_H1
369,2N_FLC_P1_A12
370,2N_FLC_P1_B5
371,2N_FLC_P1_C10
372,2N_FLC_P1_D1
373,2N_FLC_P1_D11
374,2N_FLC_P1_D2
375,2N_FLC_P1_E11
376,2N_FLC_P1_E3
377,2N_FLC_P1_F12
378,2N_FLC_P1_F2
379,2N_FLC_P1_F3
380,2N_FLC_P1_F5
381,2N_FLC_P2_A10
382,2N_FLC_P2_A4
383,2N_FLC_P2_B1
384,2N_FLC_P2_B8
385,2N_FLC_P2_B9
386,2N_FLC_P2_C10
387,2N_FLC_P2_C12
388,2N_FLC_P2_C4
389,2N_FLC_P2_C6
390,2N_FLC_P2_D12
391,2N_FLC_P2_D3
392,2N_FLC_P2_D7
393,2N_FLC_P2_D8
394,2N_FLC_P2_E8
395,2N_FLC_P2_F1
396,2N_FLC_P2_F10
397,2N_FLC_P2_F11
398,2N_FLC_P2_F3
399,2N_FLC_P2_F6
400,2N_FLC_P2_F9
401,2N_FLC_P3_C10
402,CLM-D-1-A4
403,CLM-D-1-C10
404,Gly_2N_A10
405,Gly_2N_A4
406,Gly_2N_B8
407,Gly_2N_E5
