bfa_env,s,s_se,cluster,n_bcs,source
X37C,-0.015012001236509,0.007957866173578776,7,1,CLM_alpha
pH7_3,0.003246255373912075,0.003386880429157675,7,1,CLM_alpha
FLC4,0.07655452082151824,0.004859982678127412,7,1,CLM_alpha
GlyEtOH,0.00715777738542365,0.011967760675729975,7,1,CLM_alpha
SC,-0.001784688608628125,0.0030125044276287623,8,1,CLM_alpha
YPD,-0.1787311232400775,0.010451218363776337,8,1,CLM_alpha
pH3_8,-0.003875436442147075,0.0038610746433169374,8,1,CLM_alpha
X21C,0.0059824332786257125,0.00207644183373995,8,1,CLM_alpha
X37C,-0.003969764170645338,0.006323866705412225,8,1,CLM_alpha
pH7_3,-0.009770134014256512,0.0028742308810739,8,1,CLM_alpha
FLC4,0.08120131440643312,0.004567994683258213,8,1,CLM_alpha
GlyEtOH,-0.008321138755592938,0.010720614246407462,8,1,CLM_alpha
SC,0.00872228295933417,0.007601904550063762,1,2,FLC4_alpha
YPD,6.666962110318412e-4,0.008757429142748827,1,2,FLC4_alpha
pH3_8,0.013244594404058754,0.009932773535300974,1,2,FLC4_alpha
X21C,-0.02585008059783475,0.0079116890609609,1,2,FLC4_alpha
X37C,-0.01723284010472949,0.015252761093839252,1,2,FLC4_alpha
pH7_3,-0.03273646451103837,0.009983544052821088,1,2,FLC4_alpha
FLC4,0.07238208386224984,0.006661833373843738,1,2,FLC4_alpha
GlyEtOH,0.0665415363935135,0.013143955049037375,1,2,FLC4_alpha
SC,-0.0075193682450679705,0.004968081582817537,2,2,FLC4_alpha
YPD,-0.029982638649715624,0.006266053732993687,2,2,FLC4_alpha
pH3_8,-0.05724302179878662,0.011105398252003861,2,2,FLC4_alpha
X21C,-0.016210014675558125,0.0033613209143400634,2,2,FLC4_alpha
X37C,-0.02822682494084937,0.010202136348553888,2,2,FLC4_alpha
pH7_3,0.005355789812077002,0.004167853444109475,2,2,FLC4_alpha
FLC4,0.060909734208705615,0.0052975388013364625,2,2,FLC4_alpha
GlyEtOH,0.012794110331189873,0.013849612375918875,2,2,FLC4_alpha
SC,-0.052289267437495374,0.01310617137540675,3,1,FLC4_alpha
YPD,-0.03375673585302275,0.009378533744476437,3,1,FLC4_alpha
pH3_8,-0.062127334884030126,0.0206667109330415,3,1,FLC4_alpha
X21C,-0.09806260818526938,0.01117480147624545,3,1,FLC4_alpha
X37C,-0.07022334488802726,0.018227521645828124,3,1,FLC4_alpha
pH7_3,-0.07847588438843138,0.01259000734091,3,1,FLC4_alpha
