bfa_env,s,s_se,cluster,n_bcs,source
X02M_NaCl,-0.056613145680136874,0.010340265891582275,8,1,37C_2N
SC,0.002422334225172175,0.00459412713540335,9,1,37C_2N
YPD,0.00416222296779845,0.005901959871466663,9,1,37C_2N
pH3_8,-0.0032675661052037125,0.006357226477799725,9,1,37C_2N
X21C,0.00488070475854955,0.005130401303614712,9,1,37C_2N
X37C,0.0057818281650306,0.0054146014281419375,9,1,37C_2N
pH7_3,0.00639214065948425,0.005237080545452812,9,1,37C_2N
GlyEtOH,0.010061536047709313,0.007661588716055687,9,1,37C_2N
X02M_NaCl,-0.0500305589900255,0.010236092691231113,9,1,37C_2N
SC,0.008858250544163275,0.0031292779550229875,10,1,37C_2N
YPD,0.031389138811182625,0.004364333340755725,10,1,37C_2N
pH3_8,0.005555525780431637,0.0051956720653064,10,1,37C_2N
X21C,0.03386464166634975,0.00288562497420405,10,1,37C_2N
X37C,0.060526967771165625,0.004589635442638025,10,1,37C_2N
pH7_3,0.021384129373316626,0.0038377644123318375,10,1,37C_2N
GlyEtOH,0.08683547941253288,0.004435162795726675,10,1,37C_2N
X02M_NaCl,0.018263690169225,0.004080393760044762,10,1,37C_2N
SC,-0.02194486748964025,0.00874354791445765,1,1,48Hr_2N
YPD,-0.055998455447731875,0.013041560381477375,1,1,48Hr_2N
pH3_8,-0.022789493964834876,0.010728214994222763,1,1,48Hr_2N
X21C,-0.015046453347856125,0.01091991050278435,1,1,48Hr_2N
X37C,-0.0967516099584775,0.01597063837300275,1,1,48Hr_2N
pH7_3,-0.040393968632942874,0.011716862672296387,1,1,48Hr_2N
GlyEtOH,-0.040928549132541625,0.042745354454886,1,1,48Hr_2N
X02M_NaCl,-0.04694292253417238,0.01850106265923575,1,1,48Hr_2N
SC,0.027973846637296497,0.003401733528203263,2,3,48Hr_2N
YPD,0.0035208316357765333,0.004866103888595737,2,3,48Hr_2N
pH3_8,0.03560591821031162,0.005336061527640187,2,3,48Hr_2N
X21C,0.008103753747871908,0.004003587981281124,2,3,48Hr_2N
X37C,0.036766179390894375,0.004747476559601463,2,3,48Hr_2N
pH7_3,0.023584653024170628,0.004141876791992313,2,3,48Hr_2N
GlyEtOH,0.03643426833895689,0.005604585923818902,2,3,48Hr_2N
X02M_NaCl,0.032915541178798614,0.004723399926540174,2,3,48Hr_2N
SC,0.01688092291084063,0.0048652614409597,3,3,48Hr_2N
YPD,0.00666913677137509,0.007121231604988513,3,3,48Hr_2N
pH3_8,0.017981638075234244,0.006294106227876199,3,3,48Hr_2N
X21C,0.007236932578497878,0.005768099234927526,3,3,48Hr_2N
X37C,0.0030455501989183494,0.006372181499283749,3,3,48Hr_2N
pH7_3,0.03814428444186276,0.005225842327438976,3,3,48Hr_2N
GlyEtOH,0.019561459205392123,0.008375139393191337,3,3,48Hr_2N
X02M_NaCl,0.004824080096673901,0.006577523719293325,3,3,48Hr_2N
SC,0.015545190456623125,0.00483809480324395,4,1,48Hr_2N
YPD,-0.004578514180013787,0.008191262507691338,4,1,48Hr_2N
pH3_8,0.015153181838030876,0.006354843834398575,4,1,48Hr_2N
X21C,0.009508582181702663,0.006616720239190087,4,1,48Hr_2N
X37C,0.007025504917005362,0.006548711048609813,4,1,48Hr_2N
pH7_3,-0.03902989496531775,0.012089335938033262,4,1,48Hr_2N
GlyEtOH,0.032442582831624,0.007975098780018763,4,1,48Hr_2N
X02M_NaCl,-0.0016447101500770874,0.006829860893522275,4,1,48Hr_2N
SC,0.030601489856311875,0.00314870820725205,5,1,48Hr_2N
YPD,-0.02030182061393675,0.004568594298627225,5,1,48Hr_2N
pH3_8,0.030311688618693374,0.005211854696508312,5,1,48Hr_2N
X21C,-0.02223621783531475,0.0034391646523568875,5,1,48Hr_2N
X37C,0.010285512858667425,0.004649799679094112,5,1,48Hr_2N
pH7_3,-6.649247614614125e-4,0.003961370378934375,5,1,48Hr_2N
GlyEtOH,0.0272570726852975,0.004601431949142025,5,1,48Hr_2N
X02M_NaCl,-0.016274556773251625,0.004474988171200362,5,1,48Hr_2N
SC,0.016773120534670255,0.0033031562622253376,6,6,48Hr_2N
YPD,0.008762200648497597,0.004591660571284788,6,6,48Hr_2N
pH3_8,0.021321960552070373,0.005299949460776413,6,6,48Hr_2N
X21C,0.006552412635477658,0.0035957606987834494,6,6,48Hr_2N
X37C,0.00515219082518884,0.004750894959666464,6,6,48Hr_2N
pH7_3,8.607749575269708e-4,0.0041060456393511875,6,6,48Hr_2N
GlyEtOH,0.045989561320522114,0.004833077774782825,6,6,48Hr_2N
X02M_NaCl,0.022744890694788498,0.004497669266455375,6,6,48Hr_2N
SC,-0.006075596349809101,0.006216271269172575,7,2,48Hr_2N
YPD,-0.024924791672898246,0.008495863328396788,7,2,48Hr_2N
pH3_8,-0.018222634325064622,0.0080349707726282,7,2,48Hr_2N
X21C,-0.04214601956193424,0.009119408841677612,7,2,48Hr_2N
X37C,-0.0023192248564462372,0.00642257911816855,7,2,48Hr_2N
pH7_3,0.0031420476643897882,0.006540208656640212,7,2,48Hr_2N
GlyEtOH,0.006244459842066413,0.009952841444348375,7,2,48Hr_2N
X02M_NaCl,-0.019535709435197994,0.009048526311005535,7,2,48Hr_2N
SC,0.01459910771558925,0.004654660240293075,8,1,48Hr_2N
YPD,0.007210885030604888,0.0063082196941167,8,1,48Hr_2N
pH3_8,0.011974185241151387,0.0063590101073299,8,1,48Hr_2N
X21C,0.009064915108874338,0.0055130365613734,8,1,48Hr_2N
X37C,0.0015630269914053375,0.006196181771039463,8,1,48Hr_2N
pH7_3,0.02113505171054575,0.005265557726754825,8,1,48Hr_2N
GlyEtOH,0.05775385574819575,0.00605414482629725,8,1,48Hr_2N
X02M_NaCl,0.00106980291128819,0.006664840189204325,8,1,48Hr_2N
SC,-0.03331639385899989,0.015278441189510375,1,6,Ancestor_YPD_2N
YPD,-0.046743364197975236,0.02359121001979225,1,6,Ancestor_YPD_2N
pH3_8,-0.011644427614616124,0.01733925081837775,1,6,Ancestor_YPD_2N
X21C,-0.017218733324203747,0.011049897387409737,1,6,Ancestor_YPD_2N
X37C,0.012214477900366415,0.013139108892816874,1,6,Ancestor_YPD_2N
pH7_3,-0.009043648851360142,0.020364086707605374,1,6,Ancestor_YPD_2N
GlyEtOH,0.016598641471545748,0.008744600378301399,1,6,Ancestor_YPD_2N
X02M_NaCl,-0.013587288753256377,0.0105344711291294,1,6,Ancestor_YPD_2N
SC,-0.026639986471985375,0.007218668228687263,1,81,CLM_2N
YPD,-0.016982894327317255,0.008235905373712351,1,81,CLM_2N
pH3_8,-0.015323218602609245,0.007794048351638661,1,81,CLM_2N
X21C,-0.021165191788644747,0.0052862390342032,1,81,CLM_2N
X37C,0.00197952179950675,0.008787857786713002,1,81,CLM_2N
pH7_3,-0.05263840992768977,0.014071184681474504,1,81,CLM_2N
GlyEtOH,-0.02657293824569125,0.007398983045077675,1,81,CLM_2N
X02M_NaCl,-0.009486406265671325,0.005522416468787313,1,81,CLM_2N
SC,-0.05310477397694125,0.00592439971665395,2,1,CLM_2N
YPD,-0.0384865406579835,0.007259775877931862,2,1,CLM_2N
pH3_8,-0.04919123496163225,0.007641103213717875,2,1,CLM_2N
X21C,-0.04251444485509188,0.006198546418496225,2,1,CLM_2N
X37C,-0.027561637254509375,0.00639340696586815,2,1,CLM_2N
pH7_3,-0.1751951571503225,0.017553437961970127,2,1,CLM_2N
GlyEtOH,-0.06742664987439838,0.009601030803615837,2,1,CLM_2N
X02M_NaCl,-0.018028618783833,0.00549870893344005,2,1,CLM_2N
SC,-0.054568602646478,0.010500015082060313,1,504,FLC4_2N
YPD,-0.0376845657433575,0.013032515409484873,1,504,FLC4_2N
pH3_8,-0.06895724253767276,0.02010053827562587,1,504,FLC4_2N
X21C,-0.0680733748463221,0.01025006012379246,1,504,FLC4_2N
X37C,-0.04341478717551475,0.011399729014071824,1,504,FLC4_2N
