source  ,cluster ,bfa_env ,wmu_x                  ,wse                   ,z                     ,pleio ,is_home
pH7_3   ,1       ,YPD     ,-0.0018056222797470669 ,0.0031577152857018647 ,-0.5718128825366001   ,0     ,FALSE
SC      ,1       ,YPD     ,0.00628824411276315    ,0.004839036967602462  ,1.2994825530086223    ,0     ,FALSE
YPD     ,1       ,YPD     ,0.09229795489638724    ,0.0019474740049982126 ,47.39367748144703     ,1     ,TRUE
21C     ,2       ,YPD     ,0.07186604025867062    ,0.0024093463775587123 ,29.828023454016357    ,1     ,FALSE
CLM     ,2       ,YPD     ,-0.008945492244130883  ,0.004685346534541587  ,-1.9092487990338387   ,0     ,FALSE
FLC4    ,2       ,YPD     ,-0.028566211922881852  ,0.0020877106307514042 ,-13.683032266114564   ,-1    ,FALSE
GlyEtOH ,2       ,YPD     ,0.03368478421324296    ,0.0016606843046221497 ,20.28367710797818     ,1     ,FALSE
SC      ,2       ,YPD     ,0.01370029619715475    ,0.004098413132982325  ,3.3428294690206952    ,1     ,FALSE
YPD     ,2       ,YPD     ,0.014893697830430238   ,0.00943925414853685   ,1.5778468929919494    ,0     ,TRUE
CLM     ,3       ,YPD     ,-0.04132419304453137   ,0.02075458678475655   ,-1.9910872460675733   ,-1    ,FALSE
FLC4    ,3       ,YPD     ,0.046519001785245394   ,0.001478463920955537  ,31.464414603489264    ,1     ,FALSE
GlyEtOH ,3       ,YPD     ,0.004744742638473542   ,0.003219776694858747  ,1.4736247535581644    ,0     ,FALSE
SC      ,3       ,YPD     ,-0.004896643122493513  ,0.005445591086465413  ,-0.8991940534543134   ,0     ,FALSE
CLM     ,4       ,YPD     ,-0.012925467975486406  ,0.0020448431699573778 ,-6.321006992314145    ,-1    ,FALSE
FLC4    ,4       ,YPD     ,-0.008409189611502188  ,0.004735330210082279  ,-1.7758401713142775   ,0     ,FALSE
GlyEtOH ,4       ,YPD     ,0.024254156332744813   ,0.0010247189523575168 ,23.669081436372924    ,1     ,FALSE
SC      ,4       ,YPD     ,0.0023578000513596376  ,0.00551064908389115   ,0.4278624923245449    ,0     ,FALSE
CLM     ,5       ,YPD     ,-0.1787311232400775    ,0.010451218363776337  ,-17.101462912645204   ,-1    ,FALSE
FLC4    ,5       ,YPD     ,0.011734178582824129   ,0.004631425801542899  ,2.533599605312697     ,1     ,FALSE
