source,cluster,bfa_env,wmu_x,wse,z,pleio,is_home
pH7_3,5,YPD,0.004300203521354163,0.007796522309425438,0.5515540584236543,0,FALSE
02M_NaCl,6,YPD,0.001957508171471325,0.0065389738707164,0.2993601458231341,0,FALSE
21C,6,YPD,0.006789347032805971,6.035249996192864e-4,11.24948765517386,1,FALSE
FLC4,6,YPD,-0.011169256273940161,0.0026486841684404323,-4.2169075524458295,-1,FALSE
GlyEtOH,6,YPD,-0.030139417658052,0.008045635127562713,-3.7460582266278113,-1,FALSE
pH3_8,6,YPD,0.0020600775222374625,0.006595766839948725,0.3123332847001422,0,FALSE
02M_NaCl,7,YPD,-0.00116545545364965,0.006498626414244775,-0.17933873704372513,0,FALSE
21C,7,YPD,-0.004904555576768905,0.003972135637071684,-1.2347402065012598,0,FALSE
37C,7,YPD,-0.00103077860659618,0.005922421021789113,-0.17404683030872914,0,FALSE
FLC4,7,YPD,-0.027268516659103535,0.0012964971927959135,-21.032453298490076,-1,FALSE
GlyEtOH,7,YPD,0.01099536297676382,0.004473371443352695,2.457958860783319,1,FALSE
pH3_8,7,YPD,-0.009300097666205775,0.005820004502053737,-1.5979536893698274,0,FALSE
21C,8,YPD,-0.012414854260515813,6.077887087706347e-4,-20.426266696574796,-1,FALSE
pH3_8,8,YPD,-0.01572075715765875,0.007873717731032938,-1.996611727100404,-1,FALSE
21C,9,YPD,-5.893457212141388e-4,0.0058795202503929625,-0.10023704249930075,0,FALSE
37C,9,YPD,0.00416222296779845,0.005901959871466663,0.7052272564442428,0,FALSE
GlyEtOH,9,YPD,0.007297055089060568,9.722011706783928e-4,7.50570489847153,1,FALSE
21C,10,YPD,0.030302156694886874,0.004383492705251225,6.912788210776824,1,FALSE
37C,10,YPD,0.031389138811182625,0.004364333340755725,7.192195545207211,1,FALSE
GlyEtOH,10,YPD,-0.10027634136825088,0.018094894109692915,-5.541692632206989,-1,FALSE
GlyEtOH,12,YPD,-0.013956944958389126,0.006020717764185437,-2.318153001858476,-1,FALSE
GlyEtOH,13,YPD,0.00455925085679525,0.006449624819417288,0.7069017166811217,0,FALSE
GlyEtOH,14,YPD,-0.036164392956121,0.005768485626911688,-6.26930450990524,-1,FALSE
GlyEtOH,15,YPD,-0.043120895241011876,0.0067890257945373,-6.351558610324995,-1,FALSE
