source,cluster,n_pleio_pos,n_pleio_neg,n_pleio_none,n_pleio_any,n_pleio_net,n_bfa_envs,wmu_x_home,wse_home,wmu_x_away,wse_away,n_bcs,wsd_away
21C,9,4,1,5,5,3,10,0.00731736851782195,0.004705724517463737,0.015043474125197315,0.005268508223650072,1,0.016660485858062016
37C,1,3,2,5,5,1,10,0.017107947104922274,0.00611127889361909,-0.005723200295929381,0.004916957574407679,7,0.015548785093545106
37C,10,9,0,1,9,9,10,0.060526967771165625,0.004589635442638025,0.031050749947115396,0.01127227110641987,1,0.035646051099193055
37C,2,1,2,7,3,-1,10,0.017871741989112958,0.010389990710193989,-0.01084370028559581,0.003823157689777936,3,0.012089886153685718
37C,3,2,2,6,4,0,10,0.011766377704475726,0.005644986163128113,-0.004452440286081744,0.007180454942576945,1,0.022706592254756696
37C,4,6,0,4,6,6,10,0.024879423483084532,0.010351317160092735,0.005998685258848564,0.003557343361489103,2,0.011249307441585279
37C,5,8,0,2,8,8,10,0.015667390493516408,0.004990319735524808,0.013201363649109937,0.003217566004550701,11,0.010174837096307912
37C,7,2,1,7,3,1,10,0.010100533485136625,0.0054010077521343,-0.006198540278610634,0.0056524535034656095,1,0.017874627439149787
37C,9,1,1,8,2,0,10,0.0057818281650306,0.0054146014281419375,0.0021095014741141197,0.00649288995688006,1,0.02053232086057345
CLM,1,2,4,4,6,-2,10,0.7308111624161391,0.059151869330088314,-0.002429160847593089,0.033551222732909856,81,0.10609828211961433
CLM,2,2,8,0,10,-6,10,0.7121612337007175,0.02548362208692425,-0.01821361577088312,0.04415659030767412,1,0.13963539907916545
FLC4,1,2,7,1,9,-5,10,0.5158660370430022,0.052390469496101155,-0.047112996003107775,0.009424725440467645,496,0.029803598713611424
FLC4,2,3,7,0,10,-4,10,0.220694380074517,0.05825952948464813,-0.02033933332974873,0.008707054354314774,33,0.027534123470521425
FLC4,3,2,6,2,8,-4,10,0.40003320071627657,0.002168447819392867,NaN,NaN,2,NaN
FLC4,4,2,8,0,10,-6,10,0.359984417963762,0.11537861523853771,-0.03307510363703422,0.0070367796291815506,8,0.02225225102088875
FLC4,5,2,2,6,4,0,10,0.6167657886473648,0.23783792829454534,-0.019836888525002767,0.004387626056124074,4,0.01387489185845385
FLC4,6,4,2,4,6,2,10,0.6673182954092911,0.017664482502947186,-0.009008347558993868,0.007251981563948195,7,0.022932779291626324
FLC4,7,2,7,1,9,-5,10,0.11383177387738544,0.06502790796181109,-0.042372585095926694,0.01216826942697052,2,0.038479446571818766
GlyEtOH,1,3,0,7,3,3,10,0.06172911585392329,0.012504062442617174,0.003922052599322458,0.0041430004736950935,48,0.01310131784403301
GlyEtOH,10,2,4,4,6,-2,10,0.04953495438259172,0.01472609836455558,NaN,NaN,4,NaN
GlyEtOH,12,4,3,3,7,1,10,0.056548669765665624,0.005300324598922925,-0.00925352503510095,0.006143463012913261,1,0.01942733584180633
GlyEtOH,13,3,1,6,4,2,10,0.043903406700679624,0.006160455988841663,0.005590211083660228,0.005922538344046345,1,0.018728710696868385
GlyEtOH,14,3,7,0,10,-4,10,0.07418354515573088,0.004568309669219388,-0.027447791057765066,0.005282023159010636,1,0.016703223836231344
GlyEtOH,15,3,7,0,10,-4,10,0.07717921456196625,0.004645647038841688,-0.03540411886988723,0.009436112345509907,1,0.02983960726904503
GlyEtOH,2,3,6,1,9,-3,10,0.034118419250405534,0.013480838149828544,-0.0321585744712313,0.009767401462125914,19,0.030887235441576743
GlyEtOH,3,2,5,3,7,-3,10,0.06082938742007464,0.015040828559497118,-0.03677914858153136,0.0062116463955050535,4,0.01964295062937107
GlyEtOH,4,2,2,6,4,0,10,0.03257913149969375,0.01179829832586508,-0.016856689552890016,0.003480169665201104,19,0.01100526278586112
GlyEtOH,5,6,1,3,7,5,10,0.065987988052249,0.004633797149877825,0.00707763211906526,0.007471756854507355,1,0.02362776978321857
GlyEtOH,6,2,4,4,6,-2,10,0.06397564218709012,0.00545717703827995,-0.01537336854393048,0.007712900537654772,1,0.02439033306532637
GlyEtOH,7,8,0,2,8,8,10,0.04398311131256872,0.010524561229529628,0.013118232173125518,0.00490810580979392,5,0.015520793356053945
GlyEtOH,9,7,2,1,9,5,10,0.030801177169090272,0.004795634284604347,0.005670686851874531,0.004515600884056662,5,0.014279583797888967
pH3_8,1,7,0,3,7,7,10,0.010093048884442513,0.0023826487314831425,0.00826776417583259,0.005282307637810929,21,0.016704123437186306
