GOID,GENE
GO:0006353,ISW2
GO:0006353,NAB3
GO:0006353,NPL3
GO:0006353,NRD1
GO:0006353,RAT1
GO:0006353,SPT6
GO:0006353,SUB1
GO:0006353,YDR026C
GO:0006354,BUR2
GO:0006354,CAF40
GO:0006354,CET1
GO:0006354,ELA1
GO:0006354,GCN5
GO:0006354,GIM3
GO:0006354,HIR3
GO:0006354,HPR1
GO:0006354,MTF1
GO:0006354,NPL3
GO:0006354,RAT1
GO:0006354,RCO1
GO:0006354,RSC1
GO:0006354,RSC2
GO:0006354,RSC58
GO:0006354,RSC6
GO:0006354,RSC9
GO:0006354,SKN7
GO:0006354,SPT16
GO:0006354,SPT5
GO:0006354,SPT6
GO:0006354,STB5
GO:0006354,SUB1
GO:0006354,THO2
GO:0006354,VPS15
GO:0006354,YJR084W
GO:0006360,DHR2
GO:0006360,GRC3
GO:0006360,HPR1
GO:0006360,NAN1
GO:0006360,PHO23
GO:0006360,RPA135
GO:0006360,RPB5
GO:0006360,RPC40
GO:0006360,RPO26
GO:0006360,SNF6
GO:0006360,SPT5
GO:0006360,TFB1
GO:0006360,THO2
GO:0006360,TOR1
GO:0006360,UTP10
GO:0006360,UTP9
GO:0006360,YDR026C
GO:0006364,CCM1
GO:0006364,CGR1
GO:0006364,DBP2
GO:0006364,DBP7
GO:0006364,DHR2
GO:0006364,ECM16
GO:0006364,ESF2
GO:0006364,GRC3
GO:0006364,LSM2
GO:0006364,MAK11
GO:0006364,NAN1
GO:0006364,NOC3
GO:0006364,NOP12
GO:0006364,NOP14
GO:0006364,NOP56
GO:0006364,NPL3
GO:0006364,POP1
GO:0006364,PXR1
GO:0006364,RAT1
GO:0006364,REA1
GO:0006364,REX3
GO:0006364,REX4
GO:0006364,RLI1
GO:0006364,RPS11A
GO:0006364,RPS11B
GO:0006364,RPS2
GO:0006364,RPS24A
GO:0006364,RPS28B
GO:0006364,RRP12
GO:0006364,RRP14
GO:0006364,RSC9
GO:0006364,RSP5
GO:0006364,SNF6
GO:0006364,SNR32
GO:0006364,SNR87
GO:0006364,SOF1
GO:0006364,SPT5
GO:0006364,SRD1
GO:0006364,UTP10
GO:0006364,UTP11
GO:0006364,UTP20
GO:0006364,UTP21
GO:0006364,UTP22
GO:0006364,UTP9
GO:0006364,YBR141C
GO:0006364,YDR478W
GO:0006364,YLR063W
GO:0006366,ABF1
GO:0006366,ADR1
GO:0006366,AFT1
GO:0006366,AZF1
GO:0006366,BUR2
GO:0006366,BUR6
GO:0006366,CAF40
GO:0006366,CBF1
GO:0006366,CEG1
GO:0006366,CET1
GO:0006366,CFT1
GO:0006366,CHA4
GO:0006366,CIN5
GO:0006366,CYC8
GO:0006366,DAL82
GO:0006366,DBP2
GO:0006366,DIG1
GO:0006366,EDS1
GO:0006366,ELA1
GO:0006366,FHL1
GO:0006366,FRA1
GO:0006366,FUN19
GO:0006366,GAL11
GO:0006366,GCN4
GO:0006366,GCN5
GO:0006366,GIM3
GO:0006366,GLC7
GO:0006366,GPB2
GO:0006366,HAA1
GO:0006366,HAC1
GO:0006366,HIR3
GO:0006366,HOG1
GO:0006366,HPR1
GO:0006366,HSF1
GO:0006366,IFH1
GO:0006366,IME1
GO:0006366,INO4
GO:0006366,ISW2
GO:0006366,MAC1
GO:0006366,MAL13
GO:0006366,MED1
GO:0006366,MGA1
GO:0006366,MKS1
GO:0006366,MSN2
GO:0006366,MSS11
GO:0006366,NAB3
GO:0006366,NDD1
GO:0006366,NPL3
GO:0006366,NRD1
GO:0006366,NUP133
GO:0006366,NUT2
GO:0006366,OAF1
GO:0006366,PDR1
GO:0006366,PDR3
GO:0006366,PHO2
GO:0006366,PHO23
GO:0006366,PIP2
GO:0006366,POB3
GO:0006366,PPR1
GO:0006366,PSR1
GO:0006366,PZF1
GO:0006366,RAT1
GO:0006366,RCO1
GO:0006366,RIM15
GO:0006366,ROX1
GO:0006366,RPB2
GO:0006366,RPB5
GO:0006366,RPO21
GO:0006366,RPO26
GO:0006366,RPT3
GO:0006366,RSC1
GO:0006366,RSC2
GO:0006366,RSC58
GO:0006366,RSC6
GO:0006366,RSC9
GO:0006366,RSP5
GO:0006366,SAS2
GO:0006366,SAS3
GO:0006366,SCC2
GO:0006366,SKN7
GO:0006366,SKO1
GO:0006366,SNF11
GO:0006366,SNF6
GO:0006366,SPT16
GO:0006366,SPT5
GO:0006366,SPT6
GO:0006366,SPT8
GO:0006366,SSN2
GO:0006366,SSN3
GO:0006366,STB1
GO:0006366,STB5
GO:0006366,STE12
GO:0006366,STP3
GO:0006366,SUA7
GO:0006366,SUB1
GO:0006366,SWI4
GO:0006366,SWI5
